Mese,Temp media (°C),Temp min (°C),Temp max (°C),Umidità media (%),Pioggia tot (mm),pH medio,Quantità tot (q),Giorni raccolta,Giorni piovosi
1,2.8,-4.9,8.3,75.4,11.4,6.28,3497,31,13
2,1.3,-8.0,9.0,74.1,32.2,6.24,5710,28,15
3,4.4,-2.0,9.5,70.2,46.2,6.19,11442,31,16
4,8.1,1.6,14.8,67.6,47.4,6.22,8834,30,17
5,15.5,10.0,24.7,64.3,51.5,6.36,6514,31,20
6,18.7,12.8,25.1,63.0,16.9,6.44,3799,30,13
7,22.4,17.2,27.1,63.1,14.3,6.45,1812,31,19
8,22.6,16.5,26.3,63.0,10.3,6.36,2287,31,14
9,21.4,17.0,24.6,68.1,7.2,6.2,3288,30,12
10,17.1,11.6,23.5,72.8,36.6,6.03,6554,31,19
11,11.0,2.1,18.7,74.5,81.6,5.99,7745,30,20
12,8.0,1.8,14.0,74.2,55.3,6.03,4557,31,18
